antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
disclose	positive	NP V to NP that S[+future]	subject	want	future	A disclosed to B that C would happen	0.6313504576683044
confess	negative	NP V to NP that S[+future]	object	want	future	A didn't confess to B that C would happen	0.35181400179862976
brainstorm	negative	NP V that S	subject	believe	past	A didn't brainstorm that C happened	0.3915099501609802
highlight	positive	NP V to NP that S	object	believe	past	A highlighted to B that C happened	0.7410354614257812
calculate	negative	NP V that S	subject	believe	past	A didn't calculate that C happened	0.30424681305885315
contest	negative	NP V that S[+future]	subject	believe	future	A didn't contest that C would happen	0.7999623417854309
disregard	negative	NP V that S	subject	want	past	A didn't disregard that C happened	0.4994863271713257
volunteer	negative	NP V to NP that S	subject	believe	past	A didn't volunteer to B that C happened	0.5400369763374329
express	positive	NP V that S[+future]	subject	believe	future	A expressed that C would happen	0.8758319616317749
reaffirm	positive	NP be V that S	subject	want	past	A was reaffirmed that C happened	0.7535285353660583
discover	positive	NP V that S	subject	want	past	A discovered that C happened	0.47275733947753906
guarantee	negative	NP V that S[+future]	subject	believe	future	A didn't guarantee that C would happen	0.34520193934440613
bet	negative	NP V that S[+future]	subject	believe	future	A didn't bet that C would happen	0.3093568980693817
tantalize	negative	NP be V that S	subject	believe	past	A wasn't tantalized that C happened	0.6631646752357483
order	positive	NP be V that S	subject	believe	past	A was ordered that C happened	0.6636988520622253
suggest	positive	NP V to NP that S[+future]	subject	want	future	A suggested to B that C would happen	0.5844401717185974
tease	positive	NP V NP that S[+future]	object	believe	future	A teased B that C would happen	0.5343700647354126
notify	positive	NP V to NP that S	subject	want	past	A notified to B that C happened	0.5327108502388
mislead	negative	NP V that S	subject	want	past	A didn't mislead that C happened	0.42105862498283386
brag	negative	NP V to NP that S	object	believe	past	A didn't brag to B that C happened	0.5658376216888428
justify	negative	NP be V that S	subject	believe	past	A wasn't justified that C happened	0.5810726881027222
disgruntle	negative	NP be V that S[+future]	subject	want	future	A wasn't disgruntled that C would happen	0.5923829078674316
joke	positive	NP V that S[+future]	subject	believe	future	A joked that C would happen	0.2611664831638336
bewilder	positive	NP be V that S[+future]	subject	want	future	A was bewildered that C would happen	0.258788138628006
fess_up	negative	NP V to NP that S	object	want	past	A didn't fess up to B that C happened	0.39907601475715637
long	positive	NP V that S[+future]	subject	believe	future	A longed that C would happen	0.6283175349235535
beam	negative	NP V that S	subject	want	past	A didn't beam that C happened	0.2465762197971344
expose	positive	NP V that S[+future]	subject	want	future	A exposed that C would happen	0.5419281125068665
recap	positive	NP V to NP that S	subject	want	past	A recapped to B that C happened	0.5276212096214294
repeat	negative	NP V that S	subject	want	past	A didn't repeat that C happened	0.4082338809967041
fret	positive	NP be V that S[+future]	subject	want	future	A was fretted that C would happen	0.061250973492860794
command	positive	NP V that S[-tense]	subject	believe	future	A commanded that C happen	0.8020269274711609
perplex	positive	NP V that S[-tense]	subject	want	future	A perplexed that C happen	0.332727313041687
log	positive	NP V that S	subject	believe	past	A logged that C happened	0.8690122365951538
retract	positive	NP V that S[+future]	subject	want	future	A retracted that C would happen	0.46497857570648193
hint	positive	NP be V that S[+future]	subject	believe	future	A was hinted that C would happen	0.6518240571022034
reevaluate	negative	NP V that S	subject	want	past	A didn't reevaluate that C happened	0.5243015885353088
confuse	positive	NP be V that S[+future]	subject	want	future	A was confused that C would happen	0.2590872049331665
mutter	positive	NP V to NP that S[+future]	object	believe	future	A muttered to B that C would happen	0.6880345344543457
transmit	positive	NP V to NP that S[+future]	subject	believe	future	A transmitted to B that C would happen	0.8912065029144287
dream	negative	NP V that S[+future]	subject	want	future	A didn't dream that C would happen	0.418163537979126
comfort	negative	NP be V that S	subject	believe	past	A wasn't comforted that C happened	0.7446881532669067
freak_out	positive	NP be V that S	subject	believe	past	A was freaked out that C happened	0.8851996064186096
answer	positive	NP V that S[+future]	subject	believe	future	A answered that C would happen	0.8839598298072815
document	positive	NP V to NP that S	object	believe	past	A documented to B that C happened	0.793607234954834
underline	negative	NP V that S[+future]	subject	want	future	A didn't underline that C would happen	0.4316498041152954
volunteer	positive	NP V that S[+future]	subject	want	future	A volunteered that C would happen	0.6847190260887146
revolt	positive	NP V that S[-tense]	subject	believe	future	A revolted that C happen	0.4048957824707031
madden	positive	NP be V that S[+future]	subject	want	future	A was maddened that C would happen	0.05468890070915222
believe	positive	NP V NP that S	subject	want	past	A believed B that C happened	0.642883837223053
ruminate	negative	NP V that S	subject	want	past	A didn't ruminate that C happened	0.5031919479370117
reassert	positive	NP V that S[+future]	subject	believe	future	A reasserted that C would happen	0.9103734493255615
chide	positive	NP V NP that S	object	believe	past	A chided B that C happened	0.6483726501464844
shriek	negative	NP V to NP that S	subject	want	past	A didn't shriek to B that C happened	0.3938656151294708
hurt	negative	NP be V that S	subject	want	past	A wasn't hurt that C happened	0.702669620513916
signal	positive	NP V to NP that S[+future]	object	want	future	A signalled to B that C would happen	0.6466206908226013
whisper	positive	NP V to NP that S	subject	want	past	A whispered to B that C happened	0.6038698554039001
express	negative	NP V to NP that S[+future]	object	believe	future	A didn't express to B that C would happen	0.43021804094314575
reconstruct	positive	NP V that S	subject	want	past	A reconstructed that C happened	0.6498430371284485
submit	positive	NP V that S	subject	believe	past	A submitted that C happened	0.9248570799827576
comprehend	negative	NP V that S	subject	want	past	A didn't comprehend that C happened	0.32613903284072876
alert	positive	NP V to NP that S[+future]	subject	believe	future	A alerted to B that C would happen	0.8497198820114136
doubt	positive	NP V that S	subject	believe	past	A doubted that C happened	0.07380480319261551
detect	positive	NP V that S	subject	want	past	A detected that C happened	0.5410035848617554
track	positive	NP V that S	subject	want	past	A tracked that C happened	0.6498273015022278
demand	positive	NP V to NP that S[-tense]	object	believe	future	A demanded to B that C happen	0.6008216142654419
guarantee	positive	NP V that S	subject	believe	past	A guaranteed that C happened	0.9456911683082581
stipulate	negative	NP V that S[+future]	subject	believe	future	A didn't stipulate that C would happen	0.5282079577445984
believe	negative	NP be V that S[-tense]	subject	want	future	A wasn't believed that C happen	0.47009119391441345
spook	negative	NP be V that S[+future]	subject	want	future	A wasn't spooked that C would happen	0.5885146856307983
deplore	positive	NP be V that S	subject	believe	past	A was deplored that C happened	0.8383397459983826
imagine	negative	NP V that S	subject	want	past	A didn't imagine that C happened	0.4211387634277344
jabber	positive	NP V that S[-tense]	subject	want	future	A jabbered that C happen	0.7073830366134644
brief	positive	NP be V that S[+future]	subject	want	future	A was briefed that C would happen	0.47554996609687805
print	negative	NP V that S[+future]	subject	believe	future	A didn't print that C would happen	0.401124507188797
spread	negative	NP V that S	subject	want	past	A didn't spread that C happened	0.30998045206069946
whisper	negative	NP V to NP that S	subject	believe	past	A didn't whisper to B that C happened	0.47100910544395447
envision	positive	NP V that S[+future]	subject	believe	future	A envisioned that C would happen	0.8905016183853149
televise	positive	NP V that S	subject	want	past	A televised that C happened	0.6949048638343811
startle	negative	NP be V that S	subject	want	past	A wasn't startled that C happened	0.593917727470398
alert	negative	NP V NP that S[+future]	object	want	future	A didn't alert B that C would happen	0.42250198125839233
disclose	negative	NP V that S	subject	want	past	A didn't disclose that C happened	0.3386703431606293
phone	positive	NP V to NP that S	object	believe	past	A phoned to B that C happened	0.7355512380599976
ignore	positive	NP V that S	subject	believe	past	A ignored that C happened	0.6571511626243591
grieve	negative	NP V that S	subject	believe	past	A didn't grieve that C happened	0.816846489906311
reaffirm	positive	NP V to NP that S[+future]	subject	believe	future	A reaffirmed to B that C would happen	0.9017397165298462
sob	positive	NP V to NP that S[+future]	subject	believe	future	A sobbed to B that C would happen	0.8108692169189453
admit	negative	NP V to NP that S[+future]	subject	want	future	A didn't admit to B that C would happen	0.29133906960487366
nonplus	positive	NP be V that S	subject	believe	past	A was nonplussed that C happened	0.7575247883796692
trick	negative	NP V NP that S	subject	want	past	A didn't trick B that C happened	0.536147952079773
think	negative	NP V that S[+future]	subject	want	future	A didn't think that C would happen	0.48840028047561646
induce	positive	NP V that S[+future]	subject	believe	future	A induced that C would happen	0.8736264109611511
post	positive	NP V to NP that S[+future]	subject	want	future	A posted to B that C would happen	0.6203019618988037
bug	positive	NP be V that S[+future]	subject	believe	future	A was bugged that C would happen	0.788195013999939
say	positive	NP V to NP that S	object	believe	past	A said to B that C happened	0.7487063407897949
obsess	negative	NP V that S[-tense]	subject	believe	future	A didn't obsess that C happen	0.6516678929328918
find_out	negative	NP V that S[+future]	subject	want	future	A didn't find out that C would happen	0.3933432400226593
